trial,reward,cot,distance,velocity,avg_tilt,survived,freq,duty_factor,front_x_fore,front_x_hind,front_z_top,front_z_bottom,front_rotation,front_skew,rear_x_fore,rear_x_hind,rear_z_top,rear_z_bottom,rear_rotation,rear_skew
1,-0.052847,0.242512,1.802267,0.360453,0.085394,1.000000,1.999998,0.201836,0.140231,0.099554,0.101064,-0.007328,0.064292,-0.021320,0.040956,0.111397,0.085765,0.036063,-0.048456,-0.014774
2,-0.044943,0.232504,1.826470,0.365294,0.088866,1.000000,1.990719,0.200028,0.140075,0.099722,0.100616,-0.007677,0.063018,-0.021489,0.041417,0.115791,0.085232,0.036659,-0.049954,-0.015442
3,-0.071014,0.243279,1.740686,0.348137,0.087936,1.000000,1.969077,0.200000,0.140071,0.099829,0.100650,-0.007232,0.061842,-0.022840,0.041335,0.116196,0.086242,0.034943,-0.048389,-0.012380
4,-0.048013,0.248104,1.822025,0.364405,0.082157,1.000000,1.996992,0.209173,0.140200,0.099870,0.099491,-0.007326,0.062586,-0.024269,0.040837,0.114336,0.086913,0.034015,-0.047937,-0.014916
5,-0.045874,0.235300,1.807951,0.361590,0.086082,1.000000,1.994518,0.200060,0.140049,0.099874,0.099980,-0.007367,0.064368,-0.021023,0.040976,0.112851,0.087139,0.035472,-0.048336,-0.015478
6,-0.056675,0.238833,1.774980,0.354996,0.086419,1.000000,1.988829,0.200027,0.140253,0.099828,0.099091,-0.007421,0.063457,-0.023722,0.042143,0.113792,0.087820,0.034614,-0.048825,-0.012420
7,-0.056955,0.241122,1.787893,0.357579,0.086706,1.000000,1.998346,0.200006,0.140042,0.099775,0.102301,-0.007286,0.061418,-0.021626,0.039840,0.115298,0.084681,0.036046,-0.047911,-0.014566
8,-0.059405,0.233784,1.736756,0.347351,0.086486,1.000000,1.967928,0.200682,0.139393,0.099394,0.098788,-0.007582,0.064145,-0.022663,0.040419,0.114416,0.086200,0.034603,-0.046513,-0.014353
9,-0.049599,0.242569,1.827221,0.365444,0.086237,1.000000,1.999020,0.201825,0.140211,0.099898,0.097219,-0.007417,0.059234,-0.023559,0.041733,0.117611,0.088411,0.034848,-0.048474,-0.015109
10,-0.076427,0.238424,1.700359,0.340072,0.089037,1.000000,1.981398,0.200150,0.140271,0.099303,0.099272,-0.007591,0.063702,-0.020925,0.040186,0.114229,0.083440,0.034964,-0.048079,-0.012234
