trial,reward,cot,distance,velocity,avg_tilt,survived,freq,duty_factor,front_x_fore,front_x_hind,front_z_top,front_z_bottom,front_rotation,front_skew,rear_x_fore,rear_x_hind,rear_z_top,rear_z_bottom,rear_rotation,rear_skew
1,-9.493734,,-1.867159,-0.373432,0.376071,1.000000,2.500000,0.650000,0.228433,0.159537,0.127163,0.026770,0.116580,0.010133,0.050208,0.196703,0.099707,0.020690,-0.126935,0.023900
2,-10.000000,,-0.687255,-0.137451,0.584740,0.000000,2.500000,0.650000,0.220931,0.157644,0.132440,0.011899,0.126984,0.022935,0.048394,0.224136,0.099748,0.029601,-0.137415,0.030657
3,-9.997355,6.923559,0.264478,0.052896,1.612097,0.000000,2.500000,0.650000,0.214005,0.154146,0.120659,0.013930,0.122475,0.025126,0.049212,0.198734,0.103966,0.026608,-0.145178,0.027687
4,-10.000000,,-0.185113,-0.037023,1.053275,0.000000,2.500000,0.650000,0.194682,0.156722,0.124258,0.025182,0.126056,0.019817,0.043279,0.207533,0.101957,0.035762,-0.142129,0.022844
5,-9.490823,,-0.411337,-0.082267,0.421526,1.000000,2.500000,0.650000,0.215075,0.147368,0.122147,0.030317,0.114978,0.013899,0.046322,0.186460,0.111176,0.032390,-0.142279,0.035107
6,-10.000000,,-0.663241,-0.132648,2.683718,0.000000,2.500000,0.650000,0.202808,0.149763,0.118301,0.008575,0.109355,0.026331,0.056623,0.210509,0.103447,0.043943,-0.139351,0.024933
7,-10.000000,,-0.560678,-0.112136,2.878923,0.000000,2.500000,0.650000,0.192859,0.160636,0.111473,0.021250,0.116065,0.010701,0.060280,0.202730,0.098786,0.030382,-0.142630,0.031676
8,-10.000000,,-0.419704,-0.083941,2.128015,0.000000,2.500000,0.650000,0.196923,0.155614,0.119583,0.023408,0.123139,0.013931,0.057646,0.207802,0.101452,0.022928,-0.133363,0.031960
9,-9.492140,,-1.069853,-0.213971,0.277540,1.000000,2.500000,0.650000,0.207702,0.146295,0.124428,0.027698,0.121410,0.028771,0.045595,0.206180,0.090242,0.033192,-0.142656,0.040328
10,-10.000000,,-0.688675,-0.137735,1.464403,0.000000,2.500000,0.650000,0.207351,0.153762,0.124456,0.018994,0.129096,0.031234,0.054156,0.200236,0.105936,0.026126,-0.132877,0.015064
11,-9.490986,,-0.493164,-0.098633,0.353810,1.000000,2.500000,0.650000,0.190956,0.155376,0.119463,0.017941,0.119934,0.020934,0.040692,0.205267,0.096782,0.026083,-0.144689,0.028789
12,-9.490196,,-0.098111,-0.019622,0.441306,1.000000,2.500000,0.650000,0.216469,0.149184,0.130041,0.021164,0.109564,0.024587,0.046252,0.208580,0.105020,0.033824,-0.146928,0.027484
13,-9.491823,,-0.911733,-0.182347,0.355328,1.000000,2.500000,0.650000,0.208451,0.148289,0.117291,0.025330,0.127909,0.011830,0.034758,0.185040,0.103791,0.038044,-0.144106,0.033878
14,-9.022831,5.480628,0.363911,0.072782,0.264017,1.000000,2.500000,0.650000,0.205401,0.159755,0.125228,0.026519,0.132254,0.022557,0.042523,0.208475,0.089726,0.028352,-0.151332,0.030291
15,-9.490524,,-0.261815,-0.052363,0.419529,1.000000,2.500000,0.650000,0.195199,0.153913,0.128391,0.024807,0.111445,0.016333,0.037128,0.209735,0.106558,0.030591,-0.146022,0.040777
16,-9.491037,,-0.518407,-0.103681,0.371939,1.000000,2.500000,0.650000,0.214536,0.155517,0.120821,0.020764,0.118496,0.018459,0.049004,0.167976,0.100834,0.024233,-0.140025,0.030857
17,-9.490271,,-0.135728,-0.027146,0.333743,1.000000,2.500000,0.650000,0.208484,0.144685,0.122661,0.029084,0.114415,0.017973,0.038767,0.220377,0.099688,0.025857,-0.125610,0.047982
18,-9.491806,,-0.903179,-0.180636,0.341242,1.000000,2.500000,0.650000,0.183652,0.156448,0.115419,0.020385,0.128654,0.020320,0.040079,0.198145,0.101367,0.026473,-0.132645,0.037022
19,-9.490793,,-0.396536,-0.079307,0.388098,1.000000,2.500000,0.650000,0.202994,0.138692,0.127214,0.030324,0.118191,0.011496,0.050171,0.200988,0.107042,0.022719,-0.139739,0.045404
20,-9.999598,56.832037,0.040217,0.008043,1.324028,0.000000,2.500000,0.650000,0.218414,0.151837,0.121621,0.023219,0.116978,0.018242,0.053501,0.193322,0.095630,0.032641,-0.135998,0.027938
21,-9.490478,,-0.239169,-0.047834,0.323503,1.000000,2.500000,0.650000,0.203607,0.153443,0.120047,0.022432,0.107434,0.027954,0.031879,0.192359,0.113888,0.032164,-0.131679,0.032573
22,-9.492405,,-1.202533,-0.240507,0.272445,1.000000,2.500000,0.650000,0.187785,0.143466,0.135490,0.036529,0.127434,0.010717,0.040749,0.221851,0.107082,0.034662,-0.141237,0.029581
23,-9.491347,,-0.673639,-0.134728,0.295491,1.000000,2.500000,0.650000,0.203262,0.149422,0.129891,0.029095,0.117962,0.024407,0.037481,0.195974,0.105208,0.025754,-0.148519,0.029830
24,-9.490722,,-0.361167,-0.072233,0.309867,1.000000,2.500000,0.650000,0.191280,0.154887,0.133130,0.023507,0.118632,0.024723,0.045866,0.203554,0.098711,0.028039,-0.148123,0.039897
25,-9.998409,16.127142,0.159103,0.031821,1.106285,0.000000,2.500000,0.650000,0.222688,0.156192,0.122772,0.021135,0.126701,0.009371,0.043735,0.214087,0.098485,0.035065,-0.136528,0.035445
26,-9.491263,,-0.631573,-0.126315,0.240380,1.000000,2.500000,0.650000,0.195538,0.126601,0.129250,0.020282,0.111004,0.020658,0.046824,0.228333,0.103461,0.032770,-0.146534,0.030587
27,-9.998638,13.546782,0.136214,0.027243,1.866725,0.000000,2.500000,0.650000,0.224061,0.158942,0.122598,0.020618,0.115547,0.026728,0.039734,0.225662,0.107511,0.025182,-0.138608,0.034503
28,-9.492426,,-1.212937,-0.242587,0.364153,1.000000,2.500000,0.650000,0.214132,0.154415,0.113255,0.023201,0.119720,0.032379,0.047968,0.198220,0.101632,0.032969,-0.147782,0.041913
29,-9.490191,,-0.095649,-0.019130,0.330649,1.000000,2.500000,0.650000,0.212910,0.149506,0.121105,0.022728,0.116648,0.016442,0.032226,0.221743,0.101392,0.021836,-0.147468,0.035315
30,-9.492097,,-1.048614,-0.209723,0.301928,1.000000,2.500000,0.650000,0.200810,0.145411,0.119687,0.019625,0.122674,0.026730,0.044298,0.200511,0.104027,0.031295,-0.150190,0.032558
31,-9.493090,,-1.544959,-0.308992,0.388401,1.000000,2.500000,0.650000,0.208265,0.161681,0.128831,0.022422,0.121067,0.022069,0.045339,0.202355,0.093800,0.031182,-0.140083,0.033018
32,-9.996128,5.589865,0.387222,0.077444,1.540078,0.000000,2.500000,0.650000,0.221885,0.155907,0.112132,0.024101,0.118484,0.019810,0.041777,0.225742,0.106053,0.028757,-0.143423,0.025223
33,-9.492743,,-1.371396,-0.274279,0.307104,1.000000,2.500000,0.650000,0.196210,0.166865,0.130631,0.024683,0.118640,0.020214,0.047716,0.204969,0.106804,0.030977,-0.148062,0.037378
34,-9.490388,,-0.194117,-0.038823,0.350426,1.000000,2.500000,0.650000,0.205487,0.137921,0.115217,0.027228,0.125276,0.012214,0.034721,0.197581,0.104157,0.021200,-0.146971,0.044937
35,-9.493249,,-1.624562,-0.324912,0.290212,1.000000,2.500000,0.650000,0.203006,0.153254,0.139490,0.023669,0.116862,0.017597,0.030551,0.220006,0.101820,0.028127,-0.157110,0.042735
36,-9.491425,,-0.712454,-0.142491,0.251030,1.000000,2.500000,0.650000,0.203162,0.141997,0.121419,0.036698,0.119529,0.018493,0.040938,0.224971,0.100177,0.019755,-0.146051,0.035822
37,-9.491484,,-0.742023,-0.148405,0.292942,1.000000,2.500000,0.650000,0.214818,0.137328,0.108253,0.022091,0.120246,0.021143,0.041091,0.206946,0.100561,0.025956,-0.141354,0.034142
38,-9.490945,,-0.472486,-0.094497,0.294927,1.000000,2.500000,0.650000,0.198003,0.152663,0.135364,0.034345,0.101462,0.021858,0.041718,0.200443,0.108827,0.023176,-0.137809,0.032625
39,-9.492602,,-1.300952,-0.260190,0.260143,1.000000,2.500000,0.650000,0.195756,0.149533,0.125842,0.028101,0.121641,0.023149,0.030414,0.207289,0.092652,0.018278,-0.144161,0.035748
40,-9.492893,,-1.446631,-0.289326,0.592148,1.000000,2.500000,0.650000,0.192365,0.160324,0.120777,0.020528,0.118936,0.008569,0.036125,0.224980,0.102437,0.029947,-0.160074,0.035890
41,-9.995756,5.146388,0.424409,0.084882,0.915315,0.000000,2.500000,0.650000,0.201037,0.154441,0.126540,0.030127,0.107453,0.011854,0.037573,0.213061,0.093663,0.022382,-0.161432,0.033702
42,-9.492441,,-1.220321,-0.244064,0.312694,1.000000,2.500000,0.650000,0.200365,0.164151,0.118259,0.022027,0.114447,0.015525,0.031388,0.214658,0.103759,0.020602,-0.148573,0.033351
43,-10.000000,,-0.310801,-0.062160,2.674839,0.000000,2.500000,0.650000,0.215289,0.143988,0.122544,0.033432,0.120636,0.008165,0.042777,0.216437,0.103892,0.037377,-0.151220,0.034633
44,-9.491494,,-0.746858,-0.149372,0.266054,1.000000,2.500000,0.650000,0.190357,0.149894,0.127078,0.019136,0.120461,0.022627,0.030248,0.216803,0.099534,0.016987,-0.153428,0.030164
45,-8.934648,5.128868,0.460224,0.092045,0.282460,1.000000,2.500000,0.650000,0.212348,0.157807,0.107696,0.034717,0.123263,0.020619,0.036269,0.221439,0.095034,0.020974,-0.150004,0.029688
46,-9.491061,,-0.530294,-0.106059,0.324379,1.000000,2.500000,0.650000,0.234244,0.146752,0.125583,0.029373,0.107726,0.007887,0.030016,0.193977,0.111217,0.022354,-0.135504,0.037498
47,-9.491113,,-0.556366,-0.111273,0.302958,1.000000,2.500000,0.650000,0.193839,0.158869,0.124755,0.036884,0.100384,0.014313,0.034661,0.205059,0.101736,0.025733,-0.134502,0.035546
48,-9.490524,,-0.261985,-0.052397,0.348201,1.000000,2.500000,0.650000,0.195221,0.143930,0.111276,0.030074,0.130298,0.014155,0.039788,0.210838,0.100964,0.020275,-0.142223,0.038111
49,-9.721929,8.843579,0.289153,0.057831,0.254327,1.000000,2.500000,0.650000,0.189263,0.136693,0.125449,0.035146,0.122768,0.025850,0.054765,0.186294,0.103977,0.022686,-0.146798,0.034910
50,-9.111444,5.965739,0.443503,0.088701,0.296952,1.000000,2.500000,0.650000,0.211552,0.120215,0.119307,0.036383,0.111683,0.018403,0.030480,0.191340,0.108643,0.018002,-0.147150,0.049971
51,-9.490138,,-0.068923,-0.013785,0.355012,1.000000,2.500000,0.650000,0.198733,0.147047,0.128813,0.020598,0.109822,0.018349,0.033284,0.203718,0.113400,0.027303,-0.142701,0.047271
52,-9.490846,,-0.423106,-0.084621,0.289464,1.000000,2.500000,0.650000,0.199546,0.149430,0.124219,0.028491,0.106558,0.026852,0.039269,0.177038,0.105508,0.021392,-0.135024,0.036507
53,-9.491445,,-0.722279,-0.144456,0.364802,1.000000,2.500000,0.650000,0.194822,0.149478,0.119467,0.021689,0.115729,0.012849,0.043158,0.212887,0.108526,0.026353,-0.148581,0.040699
54,-9.490891,,-0.445505,-0.089101,0.293196,1.000000,2.500000,0.650000,0.219096,0.141645,0.112254,0.034070,0.131600,0.015077,0.041517,0.192928,0.109265,0.020850,-0.132296,0.024054
55,-9.492440,,-1.219996,-0.243999,0.272953,1.000000,2.500000,0.650000,0.209934,0.146908,0.124197,0.038651,0.116419,0.020971,0.041591,0.218405,0.102732,0.025469,-0.141515,0.033042
56,-10.903520,14.680319,0.187819,0.037564,0.273508,1.000000,2.500000,0.650000,0.227463,0.135216,0.107800,0.029652,0.119959,0.012360,0.032004,0.223699,0.093835,0.010864,-0.153964,0.035944
57,-9.490403,,-0.201402,-0.040280,0.373006,1.000000,2.500000,0.650000,0.226000,0.147403,0.109653,0.034766,0.117649,0.006037,0.032070,0.193502,0.112679,0.019282,-0.142512,0.049826
58,-9.491310,,-0.655171,-0.131034,0.246855,1.000000,2.500000,0.650000,0.210065,0.136817,0.125508,0.030209,0.112113,0.019198,0.037242,0.199966,0.090222,0.023416,-0.160031,0.040889
59,-9.490868,,-0.434147,-0.086829,0.292092,1.000000,2.500000,0.650000,0.202341,0.162508,0.112482,0.039899,0.118538,0.026235,0.031732,0.207503,0.099569,0.026434,-0.151454,0.041250
60,-9.490548,,-0.274045,-0.054809,0.272804,1.000000,2.500000,0.650000,0.210508,0.140834,0.123073,0.036165,0.118011,0.022896,0.030253,0.205585,0.112895,0.021694,-0.141952,0.035844
61,-8.493736,3.063827,0.652911,0.130582,0.265455,1.000000,2.500000,0.650000,0.196099,0.149552,0.099556,0.036700,0.118778,0.019956,0.030167,0.216515,0.095790,0.020295,-0.142841,0.028427
62,-10.000000,,-0.685851,-0.137170,0.849337,0.000000,2.500000,0.650000,0.222347,0.156351,0.120191,0.034958,0.124059,0.020365,0.039618,0.225899,0.099734,0.021263,-0.133715,0.034169
