trial,reward,cot,distance,velocity,avg_tilt,survived,freq,duty_factor,front_x_fore,front_x_hind,front_z_top,front_z_bottom,front_rotation,front_skew,rear_x_fore,rear_x_hind,rear_z_top,rear_z_bottom,rear_rotation,rear_skew
1,-9.492729,,-1.364481,-0.272896,0.381782,1.000000,1.247811,0.752753,0.128071,0.057183,0.098661,0.023926,0.046765,-0.019250,0.075890,0.132982,0.093179,0.013551,-0.049625,0.013798
2,-10.000000,,-0.908195,-0.181639,0.770571,0.000000,1.247811,0.752753,0.121303,0.060371,0.094213,0.026353,0.048261,-0.018075,0.072651,0.129707,0.094922,0.014860,-0.045934,0.015153
3,-9.491942,,-0.970872,-0.194174,0.460703,1.000000,1.247811,0.752753,0.125018,0.062160,0.094921,0.026145,0.047040,-0.015627,0.071402,0.132166,0.092523,0.015410,-0.051111,0.011866
4,-10.000000,,-1.476688,-0.295338,0.760304,0.000000,1.247811,0.752753,0.120501,0.062473,0.094146,0.027594,0.048582,-0.015801,0.072638,0.133061,0.092808,0.013162,-0.047759,0.015414
5,-9.493093,,-1.546315,-0.309263,0.382620,1.000000,1.247811,0.752753,0.123940,0.059921,0.094065,0.024728,0.046456,-0.021395,0.073617,0.131790,0.094100,0.013822,-0.046271,0.015056
6,-9.492938,,-1.469136,-0.293827,0.384104,1.000000,1.247811,0.752753,0.124223,0.062713,0.098067,0.027310,0.046171,-0.017709,0.072556,0.130733,0.094473,0.013305,-0.047856,0.012679
7,-9.492890,,-1.444921,-0.288984,0.384415,1.000000,1.247811,0.752753,0.125847,0.058100,0.096330,0.025251,0.048579,-0.022244,0.073766,0.132751,0.094104,0.015051,-0.048527,0.013345
8,-9.492458,,-1.229206,-0.245841,0.389779,1.000000,1.247811,0.752753,0.126883,0.060415,0.094312,0.023213,0.046924,-0.019425,0.076253,0.131304,0.093589,0.015267,-0.047822,0.014816
9,-9.997973,2.605145,0.202719,0.040544,1.594386,0.000000,1.247811,0.752753,0.121740,0.058908,0.096803,0.026248,0.046478,-0.022225,0.074759,0.131327,0.092377,0.014925,-0.047109,0.011753
10,-9.491764,,-0.881961,-0.176392,0.429034,1.000000,1.247811,0.752753,0.124581,0.058681,0.094542,0.028720,0.047168,-0.019626,0.072231,0.128025,0.093493,0.013532,-0.045270,0.015221
