trial,reward,cot,distance,velocity,avg_tilt,survived,freq,duty_factor,front_x_fore,front_x_hind,front_z_top,front_z_bottom,front_rotation,front_skew,rear_x_fore,rear_x_hind,rear_z_top,rear_z_bottom,rear_rotation,rear_skew
1,-0.282016,0.504430,4.234854,0.846971,0.100535,1.000000,2.456228,0.793088,0.116035,0.103531,0.105516,0.017726,0.026000,0.024944,0.077948,0.097600,0.084016,0.002603,-0.040000,0.005000
2,-1.169022,0.980815,0.809212,0.161842,0.134564,1.000000,0.500000,0.389296,0.147600,0.105479,0.111214,0.018364,0.033660,0.038645,0.095000,0.130598,0.092290,-0.001237,-0.054597,-0.002845
3,-0.071352,0.457742,4.912265,0.982453,0.052418,1.000000,4.000000,0.399324,0.128698,0.115000,0.108287,0.017723,0.044668,0.026742,0.071551,0.117216,0.110406,-0.001363,-0.078115,0.005000
4,-2.722702,2.594130,0.558206,0.111641,0.092196,1.000000,1.237419,0.404433,0.099721,0.075000,0.083958,0.027640,0.026000,0.049960,0.095000,0.103302,0.102918,-0.015000,-0.077388,-0.004983
5,-2.306631,1.862419,1.735782,0.347156,0.308895,1.000000,2.858549,0.800000,0.108021,0.105515,0.124800,0.045000,0.026000,0.055000,0.085974,0.097600,0.106649,0.025000,-0.061609,-0.035000
6,-0.709855,0.701535,2.615269,0.523054,0.134923,1.000000,2.827174,0.630063,0.098400,0.075000,0.098589,0.008146,0.039254,0.055000,0.067508,0.146400,0.075000,-0.015000,-0.080000,-0.023169
7,-15.147712,14.888761,0.176914,0.035383,0.138321,1.000000,3.659628,0.515904,0.115692,0.093249,0.102807,0.012253,0.053229,0.049984,0.080398,0.126123,0.081480,0.011185,-0.064839,-0.031370
8,-2.611772,2.558116,1.658932,0.331786,0.109775,1.000000,4.000000,0.800000,0.103801,0.102407,0.124800,0.023743,0.026000,0.044685,0.089252,0.097600,0.094610,0.015357,-0.072466,0.001294
9,-2.329397,2.355819,1.390091,0.278018,0.056294,1.000000,3.092940,0.200000,0.127908,0.096035,0.115123,0.045000,0.037994,0.036256,0.078928,0.132596,0.115000,0.025000,-0.078360,-0.010031
10,-2.646685,2.681659,1.137914,0.227583,0.039409,1.000000,4.000000,0.215806,0.147544,0.077146,0.106528,0.018730,0.066000,0.016270,0.082832,0.097600,0.085443,0.005108,-0.080000,0.005000
11,-1.953520,1.913935,1.771073,0.354215,0.108346,1.000000,2.964436,0.200000,0.147600,0.084585,0.124800,0.045000,0.053213,0.052869,0.088580,0.133814,0.115000,-0.003994,-0.059810,0.004835
12,-10.000000,,-1.876487,-0.375297,0.151159,1.000000,2.776556,0.750872,0.115286,0.110563,0.098980,0.005000,0.041970,0.051083,0.090047,0.097600,0.103073,0.003209,-0.042563,-0.024381
13,-10.000000,16.111280,0.028790,0.005758,1.749158,0.000000,0.500000,0.800000,0.132293,0.112781,0.083200,0.033858,0.026000,0.025499,0.055000,0.119840,0.094335,0.005702,-0.043075,0.005000
14,-10.000000,,-0.910795,-0.182159,0.153714,1.000000,4.000000,0.800000,0.098400,0.088793,0.124800,0.017911,0.066000,0.015000,0.081422,0.116867,0.102080,0.004381,-0.074860,-0.034943
15,-3.065093,3.015837,1.074409,0.214882,0.078348,1.000000,4.000000,0.200000,0.142708,0.088280,0.094478,0.045000,0.044960,0.017359,0.069523,0.115321,0.075000,0.013050,-0.062559,-0.011835
16,-10.000000,,-0.630324,-0.126065,0.130638,1.000000,4.000000,0.725454,0.147600,0.096747,0.102767,0.016176,0.037039,0.055000,0.078967,0.130069,0.100733,0.019689,-0.061588,0.001081
17,-0.675956,0.791458,2.294217,0.458843,0.056960,1.000000,2.341913,0.274582,0.140772,0.102135,0.112279,0.009837,0.042377,0.033135,0.055000,0.122496,0.102861,0.012918,-0.080000,-0.006317
18,-2.218127,2.307043,1.721848,0.344370,0.041634,1.000000,4.000000,0.233368,0.143620,0.115000,0.083200,0.025140,0.052772,0.034054,0.086736,0.129494,0.079865,0.012139,-0.047338,-0.034579
19,-1.470209,1.328740,2.182655,0.436531,0.179867,1.000000,2.514819,0.800000,0.146428,0.115000,0.085306,0.036404,0.058189,0.031304,0.065022,0.126013,0.115000,-0.000762,-0.069417,-0.005482
