trial,reward,cot,distance,velocity,avg_tilt,survived,freq,duty_factor,front_x_fore,front_x_hind,front_z_top,front_z_bottom,front_rotation,front_skew,rear_x_fore,rear_x_hind,rear_z_top,rear_z_bottom,rear_rotation,rear_skew
1,-10.000000,,0.000000,0.000000,3.141593,0.000000,3.399318,0.331553,0.153621,0.066297,0.120000,0.029798,0.032568,-0.020000,0.070373,0.168000,0.120000,0.017446,-0.049404,-0.009566
2,-10.000000,,0.000000,0.000000,3.141593,0.000000,0.746671,0.800000,0.163006,0.099722,0.108864,0.020721,0.070000,-0.016193,0.064355,0.131264,0.120000,0.040000,-0.070000,-0.020000
3,-10.000000,,0.000000,0.000000,3.141593,0.000000,2.235003,0.520087,0.155726,0.100000,0.109699,0.000000,0.035319,0.015794,0.069383,0.140621,0.096449,0.027801,-0.068733,0.008766
4,-10.000000,,0.000000,0.000000,3.141593,0.000000,2.715612,0.336110,0.143535,0.079557,0.084129,0.000000,0.062173,0.009985,0.040000,0.130562,0.114182,0.022999,-0.061175,0.005832
5,-10.000000,,0.000000,0.000000,3.141593,0.000000,3.539167,0.461638,0.112000,0.080411,0.087849,0.000000,0.070000,-0.010766,0.070927,0.168000,0.108166,0.000000,-0.052741,-0.020000
6,-10.000000,,0.000000,0.000000,3.141593,0.000000,1.160753,0.800000,0.128752,0.084101,0.098547,0.032493,0.070000,-0.000699,0.040000,0.117526,0.080000,0.040000,-0.032064,-0.018830
7,-10.000000,,0.000000,0.000000,3.141593,0.000000,1.537328,0.800000,0.155602,0.077402,0.080000,0.036447,0.055394,-0.014153,0.040000,0.158001,0.097239,0.000000,-0.050874,-0.013478
8,-10.000000,,0.000000,0.000000,3.141593,0.000000,0.938013,0.800000,0.120953,0.084083,0.091047,0.000000,0.044090,-0.018699,0.080000,0.112000,0.120000,0.034389,-0.063437,0.011490
9,-10.000000,,0.000000,0.000000,3.141593,0.000000,2.966312,0.800000,0.135995,0.071345,0.118946,0.000391,0.047840,0.010054,0.061696,0.154662,0.080000,0.013450,-0.030000,0.012906
10,-10.000000,,0.000000,0.000000,3.141593,0.000000,4.000000,0.240977,0.133013,0.069079,0.120000,0.008863,0.055472,0.020000,0.040000,0.136143,0.080000,0.000000,-0.030000,0.020000
11,-10.000000,,0.000000,0.000000,3.141593,0.000000,2.928985,0.649737,0.116321,0.060000,0.108110,0.037068,0.046017,0.020000,0.046716,0.112000,0.103393,0.037596,-0.054618,0.017022
12,-10.000000,,0.000000,0.000000,3.141593,0.000000,3.626645,0.288325,0.112000,0.083218,0.093198,0.027887,0.030000,-0.002319,0.067871,0.112000,0.100661,0.018516,-0.054028,0.002694
13,-10.000000,,0.000000,0.000000,3.141593,0.000000,1.100076,0.456544,0.121764,0.060000,0.081643,0.040000,0.040503,0.020000,0.074949,0.123390,0.080000,0.040000,-0.038789,0.020000
