phase,trial,cot,freq,duty_factor,front_x_fore,front_x_hind,front_z_top,front_z_bottom,front_rotation,front_skew,rear_x_fore,rear_x_hind,rear_z_top,rear_z_bottom,rear_rotation,rear_skew
1,1,3.283169,1.950000,0.500000,0.181516,0.048343,0.127969,0.049685,0.044583,0.009997,0.055925,0.116719,0.044287,0.035089,-0.094359,0.022200
1,2,10.000000,1.950000,0.500000,0.201397,0.030078,0.149221,0.051748,0.061165,0.000707,0.012306,0.143468,0.069986,-0.025333,-0.002624,-0.026723
1,3,10.000000,1.950000,0.500000,0.082685,0.091839,0.088246,0.088323,0.046676,0.085994,0.078031,0.133070,0.031326,0.064220,-0.043671,-0.011458
1,4,10.000000,1.950000,0.500000,0.072235,0.053089,0.074103,0.058326,0.061000,0.083319,0.027336,0.124748,0.048224,0.045536,-0.057484,-0.029206
1,5,10.000000,1.950000,0.500000,0.149478,0.033131,0.134228,0.034975,0.039515,0.092666,0.082727,0.115716,0.087044,0.022083,-0.003883,0.034453
1,6,10.000000,1.950000,0.500000,0.174625,0.083969,0.108675,0.086526,0.060703,0.027600,0.039627,0.093137,0.031564,0.012340,-0.060512,-0.020651
1,7,10.000000,1.950000,0.500000,0.071971,0.049884,0.121134,0.069018,0.060596,0.092630,0.075108,0.198094,0.115004,0.014945,-0.090459,-0.012918
1,8,10.000000,1.950000,0.500000,0.163638,0.096592,0.109130,0.017472,0.056124,0.038293,0.107171,0.188848,0.102173,-0.006402,-0.074393,-0.045957
1,9,10.000000,1.950000,0.500000,0.169493,0.041089,0.093934,0.010172,0.089576,0.047537,0.066328,0.167372,0.043933,0.030442,-0.046016,-0.029694
1,10,10.000000,1.950000,0.500000,0.201999,0.089887,0.119478,0.078047,0.062435,0.029563,0.020549,0.133915,0.051844,0.011651,-0.011672,-0.017565
1,11,10.000000,1.950000,0.500000,0.087092,0.065630,0.140683,0.017213,0.064769,0.000052,0.045257,0.112669,0.046466,0.023409,-0.051517,0.019244
1,12,10.000000,1.950000,0.500000,0.107718,0.054413,0.066829,0.011876,0.055810,0.040384,0.016489,0.105548,0.054688,0.039630,-0.028773,-0.035191
1,13,10.000000,1.950000,0.500000,0.209684,0.056678,0.147661,0.031104,0.003305,0.034507,0.073435,0.165299,0.083093,0.014778,-0.044711,0.009270
