restart,phase,trial,cot,freq,front_x_fore,front_x_hind,front_z_top,front_z_bottom,front_rotation,front_skew,rear_x_fore,rear_x_hind,rear_z_top,rear_z_bottom,rear_rotation,rear_skew
1,1,1,10.000000,1.675000,0.140000,0.080000,0.100000,0.020000,0.050000,0.000000,0.060000,0.140000,0.100000,0.020000,-0.050000,0.000000
1,1,2,10.000000,1.675000,0.154493,0.069829,0.101732,0.016042,0.041448,-0.003425,0.057845,0.144676,0.107092,0.005459,-0.057379,0.003124
1,1,3,10.000000,1.675000,0.122517,0.094933,0.109970,0.006103,0.052026,0.003280,0.045208,0.126522,0.089948,0.018859,-0.047990,-0.001443
1,1,4,10.000000,1.675000,0.157631,0.089448,0.097035,0.011095,0.045750,0.010861,0.055464,0.160625,0.101973,0.012105,-0.045239,0.004807
1,1,5,10.000000,1.675000,0.140614,0.073373,0.103898,0.019376,0.054599,0.001267,0.048636,0.157167,0.085516,0.014323,-0.059859,-0.004709
1,1,6,10.000000,1.675000,0.144936,0.081525,0.106483,0.019684,0.060245,-0.004561,0.061441,0.140186,0.085662,0.011839,-0.062490,-0.007535
1,1,7,10.000000,1.675000,0.119277,0.073796,0.096217,0.024405,0.060312,-0.002535,0.063950,0.140830,0.091922,0.010968,-0.051431,0.008831
1,1,8,1.960242,1.675000,0.143918,0.085980,0.106907,0.023638,0.042329,-0.001749,0.060410,0.119467,0.093865,0.015778,-0.064690,0.001865
1,1,9,10.000000,1.675000,0.142054,0.067685,0.092477,0.032129,0.048148,-0.007186,0.070881,0.138138,0.103760,0.032116,-0.048651,-0.010275
1,1,10,12.265299,1.675000,0.148985,0.093065,0.097550,0.024852,0.061228,-0.010316,0.068474,0.138901,0.101578,0.032728,-0.040605,-0.010982
1,1,11,10.000000,1.675000,0.136420,0.085273,0.109352,0.009822,0.056038,0.000568,0.047333,0.140817,0.098464,0.018316,-0.056974,-0.004044
1,1,12,1.374936,1.675000,0.150999,0.075269,0.110765,0.026062,0.057571,-0.002920,0.050182,0.119406,0.097211,0.018970,-0.053448,-0.011898
1,1,13,10.719405,1.675000,0.120824,0.091329,0.096726,0.031028,0.059988,0.002239,0.070927,0.158977,0.104113,0.005084,-0.045771,-0.000200
1,1,14,10.000000,1.675000,0.152210,0.075774,0.105803,0.015953,0.052520,-0.001449,0.051322,0.132453,0.086914,0.023710,-0.038232,0.002864
1,1,15,10.000000,1.675000,0.126143,0.081143,0.092796,0.016506,0.035076,0.013771,0.060688,0.143003,0.087841,0.008953,-0.038534,0.010377
1,1,16,4.669941,1.675000,0.147293,0.085848,0.112945,0.025290,0.053045,-0.010547,0.051884,0.128203,0.086309,0.017413,-0.063621,0.012250
1,1,17,10.000000,1.675000,0.145165,0.075006,0.092937,0.027119,0.061950,0.014845,0.047522,0.137702,0.114195,0.022614,-0.040979,-0.003447
1,1,18,10.000000,1.675000,0.155744,0.093944,0.093054,0.015016,0.047556,0.013880,0.047013,0.144488,0.102259,0.028003,-0.062629,-0.010230
1,1,19,8.014515,1.675000,0.152234,0.093359,0.101181,0.020451,0.056306,-0.009019,0.069819,0.120039,0.103873,0.030262,-0.061155,-0.004183
1,1,20,10.000000,1.675000,0.130486,0.088296,0.090368,0.016980,0.052501,-0.013831,0.056262,0.126394,0.093041,0.010102,-0.053298,-0.013809
1,1,21,10.000000,1.675000,0.129286,0.071469,0.105350,0.025647,0.047292,-0.011793,0.060843,0.140845,0.100519,0.016388,-0.056910,-0.014442
1,1,22,10.000000,1.675000,0.124459,0.069209,0.094257,0.013149,0.047937,0.010941,0.072584,0.135399,0.101961,0.033113,-0.044774,-0.013570
1,1,23,4.806603,1.675000,0.136819,0.088181,0.096844,0.033131,0.041669,0.008283,0.065066,0.147077,0.094806,0.014269,-0.052126,0.005735
1,1,24,8.337618,1.675000,0.134536,0.093745,0.102795,0.018157,0.054004,-0.011111,0.066069,0.125243,0.109594,0.006574,-0.044870,0.007701
1,1,25,10.000000,1.675000,0.127424,0.068585,0.107731,0.013690,0.050089,-0.004994,0.049908,0.158940,0.094354,0.019260,-0.054024,0.009639
1,1,26,15.204959,1.675000,0.153049,0.091036,0.093690,0.023796,0.035333,-0.006661,0.060620,0.132982,0.114601,0.024744,-0.037330,-0.008377
1,1,27,10.000000,1.675000,0.145632,0.076356,0.105167,0.027326,0.056577,-0.006749,0.071292,0.134849,0.102490,0.033282,-0.041342,-0.009754
1,1,28,10.000000,1.675000,0.152427,0.074229,0.094528,0.016212,0.047640,0.011648,0.063039,0.132655,0.092804,0.031849,-0.063881,-0.011376
1,1,29,38.844305,1.675000,0.158325,0.085938,0.105710,0.022075,0.037549,-0.004026,0.055715,0.136094,0.098070,0.026265,-0.064998,0.002632
1,1,30,10.000000,1.675000,0.149540,0.087184,0.087152,0.008639,0.038755,-0.004228,0.053658,0.132039,0.093263,0.012015,-0.047448,-0.004731
1,1,31,15.569168,1.675000,0.135475,0.076317,0.108144,0.021971,0.054009,0.003743,0.052969,0.143153,0.109227,0.017241,-0.054834,-0.001552
1,1,32,2.771202,1.675000,0.130182,0.087822,0.105578,0.032979,0.043562,0.003610,0.061608,0.120803,0.086797,0.026690,-0.060755,0.004120
1,1,33,2.639644,1.675000,0.140736,0.087234,0.088556,0.023545,0.051518,-0.012532,0.074036,0.124487,0.114074,0.005046,-0.059490,0.002784
1,1,34,10.000000,1.675000,0.156663,0.093489,0.096824,0.008300,0.055013,0.012145,0.074194,0.130714,0.085778,0.019596,-0.037097,0.003572
1,1,35,10.000000,1.675000,0.140440,0.094849,0.092156,0.008281,0.049284,0.012060,0.052357,0.142521,0.113419,0.008399,-0.036552,-0.010977
1,1,36,2.249557,1.675000,0.121821,0.076289,0.110241,0.021995,0.036125,0.002385,0.049505,0.126918,0.108790,0.022614,-0.042649,-0.013528
1,1,37,3.693689,1.675000,0.128264,0.094588,0.113066,0.019378,0.061240,0.004424,0.072822,0.140802,0.103737,0.020333,-0.063103,0.001901
1,1,38,10.000000,1.675000,0.140103,0.078377,0.091995,0.020334,0.060894,-0.002306,0.046731,0.146247,0.111647,0.018684,-0.053245,0.000740
1,1,39,5.302057,1.675000,0.127700,0.093662,0.094718,0.026131,0.049704,0.010758,0.071869,0.142536,0.089644,0.016747,-0.058477,-0.001960
1,1,40,10.000000,1.675000,0.130171,0.067894,0.105498,0.017930,0.056460,-0.013424,0.068635,0.157776,0.086607,0.026283,-0.039247,-0.011768
1,1,41,10.000000,1.675000,0.119182,0.071782,0.098460,0.016796,0.036321,0.014428,0.066246,0.158858,0.097716,0.025650,-0.052794,-0.011364
1,1,42,10.000000,1.675000,0.159111,0.094595,0.085639,0.028951,0.049562,-0.009544,0.073104,0.131448,0.094837,0.034243,-0.053119,0.013931
1,1,43,10.000000,1.675000,0.119027,0.069021,0.102068,0.022163,0.050346,0.008400,0.064179,0.139239,0.091671,0.006606,-0.055779,-0.010748
1,1,44,4.135980,1.675000,0.145476,0.088451,0.108590,0.029374,0.045983,0.013937,0.062776,0.153123,0.114335,0.026689,-0.041863,0.009007
1,1,45,10.000000,1.675000,0.150960,0.092862,0.094093,0.022119,0.045317,0.003390,0.053140,0.155301,0.098786,0.034701,-0.056262,0.008340
1,1,46,3.501505,1.675000,0.133642,0.083500,0.098997,0.008139,0.055322,0.013505,0.052309,0.123691,0.087057,0.025964,-0.036010,-0.011502
1,1,47,3.066338,1.675000,0.126490,0.088714,0.096839,0.032372,0.055590,0.008355,0.073241,0.135776,0.088390,0.009495,-0.037151,0.000967
1,1,48,10.000000,1.675000,0.128254,0.094895,0.089883,0.008343,0.040540,-0.013658,0.057825,0.133819,0.110282,0.010201,-0.060146,0.003702
1,1,49,10.000000,1.675000,0.135021,0.089727,0.087834,0.006677,0.050985,-0.004366,0.057519,0.134897,0.109140,0.013774,-0.035085,-0.008624
1,1,50,10.000000,1.675000,0.129702,0.074586,0.089915,0.006686,0.057941,0.009437,0.045910,0.128336,0.105696,0.014556,-0.063487,0.002103
1,1,51,2.887334,1.675000,0.160350,0.070114,0.105693,0.024019,0.060851,-0.011030,0.062632,0.127447,0.103434,0.010154,-0.056968,0.011432
1,1,52,10.000000,1.675000,0.153876,0.070603,0.101965,0.023220,0.043527,0.002500,0.072553,0.155327,0.094338,0.012467,-0.040921,0.010291
1,1,53,10.000000,1.675000,0.152840,0.080361,0.096075,0.024636,0.044874,-0.005625,0.073208,0.160390,0.090398,0.030789,-0.052538,-0.000713
1,1,54,6.717065,1.675000,0.156022,0.075237,0.098766,0.024087,0.048863,0.005677,0.068687,0.141191,0.104967,0.014630,-0.054377,-0.012167
1,1,55,10.000000,1.675000,0.133181,0.084435,0.092827,0.029277,0.036340,-0.004294,0.050333,0.139521,0.102576,0.032856,-0.038559,-0.004632
1,1,56,10.000000,1.675000,0.132903,0.091617,0.097296,0.025769,0.039951,-0.002722,0.049508,0.137513,0.114761,0.020510,-0.042643,-0.012545
1,1,57,1.866909,1.675000,0.129830,0.082595,0.109381,0.034221,0.054314,0.008343,0.050946,0.148573,0.104683,0.018856,-0.060065,0.009985
1,1,58,10.000000,1.675000,0.143857,0.065928,0.094869,0.015112,0.055150,-0.011104,0.068524,0.120852,0.088074,0.026263,-0.051846,0.005737
1,1,59,8.085133,1.675000,0.130520,0.067286,0.111337,0.014073,0.059768,0.006302,0.052966,0.153016,0.109440,0.020720,-0.039639,-0.012612
1,1,60,1.669451,1.675000,0.151089,0.079596,0.104020,0.029544,0.044915,0.012641,0.072443,0.140559,0.106334,0.015832,-0.063231,0.009360
1,1,61,26.854849,1.675000,0.128745,0.087656,0.095644,0.009203,0.060345,-0.008858,0.070237,0.124138,0.102165,0.032589,-0.058403,-0.013877
1,1,62,10.000000,1.675000,0.133050,0.083458,0.089785,0.016740,0.055603,-0.011638,0.068812,0.143720,0.109564,0.030069,-0.063097,0.008653
1,1,63,10.000000,1.675000,0.135428,0.080079,0.102521,0.027382,0.052187,-0.003040,0.054847,0.154838,0.088728,0.015356,-0.055594,-0.011744
1,1,64,10.000000,1.675000,0.124391,0.094658,0.093414,0.008194,0.055584,0.005868,0.061994,0.122301,0.114804,0.007322,-0.056905,-0.001522
1,1,65,1.961888,1.675000,0.130535,0.084660,0.099869,0.026018,0.058650,0.003219,0.063823,0.131531,0.087105,0.032028,-0.049267,-0.010516
1,1,66,1.487148,1.675000,0.154266,0.081252,0.110714,0.035000,0.045646,0.009900,0.075000,0.132382,0.108630,0.007792,-0.065000,0.015000
1,1,67,1.703771,1.675000,0.135305,0.079599,0.111228,0.035000,0.038959,-0.001947,0.070146,0.119000,0.115000,0.011016,-0.065000,0.004607
1,1,68,1.829170,1.675000,0.136634,0.081014,0.113531,0.035000,0.047159,0.015000,0.066292,0.142529,0.102119,0.015577,-0.065000,0.015000
1,1,69,1.379600,1.675000,0.161000,0.077900,0.108358,0.035000,0.060844,0.008001,0.075000,0.127543,0.085000,0.005000,-0.065000,0.015000
1,1,70,1.357164,1.675000,0.161000,0.082534,0.103732,0.035000,0.062687,0.007639,0.070322,0.119000,0.101856,0.005000,-0.065000,0.015000
1,1,71,1.856691,1.675000,0.151578,0.073110,0.113366,0.035000,0.050608,-0.015000,0.075000,0.119000,0.095347,0.008855,-0.065000,0.015000
1,1,72,6.513101,1.675000,0.124021,0.084039,0.112260,0.026408,0.042081,0.007295,0.062579,0.152832,0.088734,0.016351,-0.053274,-0.001557
1,1,73,11.219052,1.675000,0.142966,0.067870,0.094949,0.027671,0.047253,0.010073,0.057967,0.148776,0.111104,0.019434,-0.056286,0.008203
